E_Name,Class,Direction,Time
E_10497,car,route_8,1540.8962012
E_10505,bus,route_6,1543.2960251
E_10571,truck,route_8,1548.448
E_10521,truck,route_6,1551.7825336
E_10639,bus,route_8,1552.8047929
E_10645,car,route_6,1555.715238
E_10691,car,route_6,1556.6578675
E_10667,car,route_6,1558.6838003
E_10695,truck,route_8,1558.8987539
E_10707,car,route_8,1559.6239588
E_10650,car,route_6,1562.2431698
E_10752,car,route_8,1563.6851943
E_10778,truck,route_8,1566.512496
E_10791,car,route_8,1566.6559424
E_10701,car,route_6,1567.0894516
E_10801,bus,route_6,1570.3478387
E_10781,car,route_7,1571.5117576
E_10861,truck,route_6,1577.0888713
E_10879,car,route_8,1580.5630012
E_10885,bus,route_6,1583.7509617
E_10954,truck,route_6,1595.8018876
E_10956,truck,route_6,1595.946085
E_10952,car,route_8,1597.4632159
E_10963,bus,route_6,1597.6077063
E_10995,car,route_8,1604.7725558
E_11224,car,route_7,1643.5402296
E_11254,bus,route_6,1655.7452822
E_11462,car,route_7,1687.1910081
E_11475,bus,route_6,1710.0056406
E_11619,bus,route_6,1710.295281
E_11716,car,route_7,1719.3126781
E_11731,car,route_7,1720.1878235
E_11737,car,route_7,1720.6967475000001
E_11645,bus,route_6,1721.7103193
E_11923,bus,route_6,1766.968836
E_12123,bus,route_7,1788.7203448
E_12128,bus,route_7,1789.0145241
E_12129,bus,route_7,1789.2316088
E_12318,bus,route_6,1834.4429758
E_12378,car,route_7,1843.8239896
E_12381,car,route_7,1844.3312963
E_12382,car,route_7,1844.4760006000001
E_12447,car,route_6,1861.3798258
E_12463,car,route_6,1865.4144391
E_12461,bus,route_8,1866.8515778
E_12529,car,route_6,1869.0307223
E_12531,car,route_6,1869.3233283
E_12540,truck,route_8,1871.9235377
E_12475,car,route_6,1872.4394691
E_12632,car,route_6,1876.8986317000001
E_12635,car,route_6,1877.0470596
E_12657,motorcycle,route_7,1878.4325841
E_12623,car,route_8,1878.5063433
E_12558,car,route_6,1879.3251482
E_12662,car,route_6,1883.0967047
E_12687,car,route_8,1884.0467474
E_12699,car,route_6,1886.8225902
E_12719,car,route_8,1887.0419239
E_12746,car,route_6,1891.1350782
E_12778,car,route_6,1894.3463352
E_12802,car,route_8,1894.5644963
E_12801,car,route_8,1894.8547978
E_12812,car,route_6,1895.2222465
E_12815,truck,route_8,1895.4415778
E_12785,car,route_6,1900.6992480000001
E_12886,car,route_7,1901.7231342
E_12845,car,route_6,1902.8198636
E_12901,bus,route_8,1905.4609006
E_12954,motorcycle,route_7,1905.7527941
E_12880,car,route_6,1906.4872118
E_12861,car,route_7,1908.9767566
E_12890,car,route_6,1909.4865854
E_12986,car,route_6,1909.8522153000001
E_12965,car,route_6,1912.7798064
E_13001,car,route_8,1913.9465194
E_13012,car,route_6,1914.5360019
E_13020,car,route_8,1915.1892642
E_13028,car,route_6,1915.481766
E_13029,motorcycle,route_7,1915.5540780000001
E_12991,car,route_7,1917.2371515
E_13045,motorcycle,route_6,1917.528986
E_13144,car,route_7,1944.4797212
E_13180,bus,route_7,1947.7701366000001
E_13208,motorcycle,route_6,1949.4491065
E_13210,motorcycle,route_6,1949.5938108
E_13233,car,route_7,1961.0445313
E_13294,truck,route_7,1982.6362243
E_13313,motorcycle,route_6,1985.4830873
E_13337,motorcycle,route_7,1988.5502097
E_13331,motorcycle,route_6,1988.6951597
E_13329,car,route_6,1991.8508797
E_13362,car,route_8,1992.8821181
E_13385,truck,route_8,1993.9745853
E_13414,motorcycle,route_7,1996.6057006
E_13390,car,route_6,2002.8543269
E_13436,car,route_7,2003.2987513
E_13482,car,route_7,2013.9442037000001
E_13617,motorcycle,route_6,2035.8279241
E_13618,car,route_7,2038.1668659
E_13733,car,route_7,2054.3666182999996
E_13941,car,route_7,2076.4555747
E_13965,car,route_6,2078.2777985999996
E_14006,car,route_6,2080.9800296999997
E_14104,car,route_7,2093.7057587
E_14161,car,route_6,2105.071532
E_14163,car,route_6,2105.2154631
E_14169,car,route_6,2106.0166897
E_14162,truck,route_7,2107.7737862999998
E_14400,car,route_7,2155.7533596
E_14426,car,route_6,2157.4190446
E_14427,car,route_6,2157.5637309
E_14430,car,route_6,2157.7137438
E_14445,motorcycle,route_7,2159.7523865999997
E_14495,car,route_7,2165.9485498
E_14503,car,route_7,2167.4116209999997
E_14655,car,route_7,2189.1289128
E_14777,car,route_6,2200.6651181999996
E_14770,car,route_7,2200.8097358
E_14825,truck,route_7,2214.1476771999996
E_14886,car,route_6,2214.8090104999997
E_14950,car,route_6,2221.0012161
E_14959,car,route_6,2221.2182395
E_14967,car,route_6,2221.5119963999996
E_14796,car,route_8,2225.22613
E_13464,car,route_6,2228.3571933
E_15184,truck,route_6,2233.3807503999997
E_15192,car,route_6,2233.8137442999996
E_15141,car,route_8,2234.6845193
E_15208,car,route_6,2237.8643515999997
E_15278,car,route_6,2238.1537589
E_15241,car,route_8,2238.3703431999998
E_15282,car,route_6,2238.3703604999996
E_15265,truck,route_6,2242.2219090999997
E_15338,truck,route_8,2243.0193259999996
E_15429,car,route_6,2244.9092963999997
E_15434,motorcycle,route_7,2245.1261885999998
E_15455,car,route_8,2246.5835854999996
E_15358,car,route_6,2246.9469633
E_15446,car,route_8,2248.6206992999996
E_15504,car,route_8,2249.8591442999996
E_15464,car,route_6,2250.3629969999997
E_15503,car,route_8,2250.8016971999996
E_15509,car,route_6,2251.0218452999998
E_15460,car,route_6,2253.8486958
