N_Name,Class,Direction,Time
N_6638,car,route_9,413.3924142
N_6642,car,route_9,413.9920379
N_6646,car,route_9,414.739028
N_6652,car,route_9,415.18491170000004
N_6654,car,route_9,415.4147859
N_6661,car,route_9,415.86513790000004
N_6666,car,route_9,416.16298450000005
N_6670,car,route_9,416.5365406
N_6674,car,route_9,416.98346260000005
N_6631,car,route_9,417.586613
N_6678,car,route_9,417.735447
N_6679,car,route_9,417.96478970000004
N_6686,car,route_9,418.56833730000005
N_6705,motorcycle,route_11,419.92938300000003
N_6729,car,route_9,422.775926
N_6780,car,route_9,426.4493142
N_6783,car,route_9,426.5979441
N_6791,car,route_9,427.0436553
N_6751,car,route_11,427.71853960000004
N_6795,car,route_9,427.7185599
N_6797,car,route_9,427.7954707
N_6799,car,route_9,428.241618
N_6873,car,route_9,438.1010322
N_6885,car,route_9,438.9191437
N_6853,truck,route_11,440.9394222
N_6928,car,route_9,445.0428637
N_6930,car,route_9,445.2654696
N_6874,car,route_10,445.64138280000003
N_6938,car,route_10,445.79051030000005
N_6948,car,route_9,446.53781310000005
N_6935,car,route_10,446.8338676
N_6949,car,route_9,447.65720480000004
N_6959,car,route_9,448.47451820000003
N_6970,car,route_9,449.2958084
N_6978,car,route_9,450.41185160000003
N_6979,car,route_9,451.1559244
N_6982,car,route_9,451.5310159
N_6992,car,route_9,452.35271070000005
N_6994,car,route_9,452.50109860000003
N_6989,car,route_11,452.64975150000004
N_6999,car,route_9,452.8734173
N_7002,car,route_9,453.2444135
N_7050,car,route_9,460.4770901
N_7072,car,route_10,462.4872199
N_7087,car,route_9,464.7932589
N_7089,car,route_9,465.01648600000004
N_7091,car,route_9,465.24194140000003
N_7096,car,route_9,465.68851090000004
N_7099,car,route_9,465.83912030000005
N_7103,car,route_9,466.285908
N_7108,car,route_9,466.5835677
N_7112,car,route_9,466.88275660000005
N_7120,car,route_9,467.48114130000005
N_7125,car,route_9,467.7027603
N_7129,car,route_9,467.9984764
N_7130,car,route_9,468.1467349
N_7135,car,route_9,468.44472720000005
N_7138,car,route_9,468.667884
N_7149,car,route_11,469.4128435
N_7152,car,route_11,469.5623946
N_7154,car,route_11,469.71030410000003
N_7171,car,route_11,471.9457482
N_7176,car,route_9,472.5428683
N_7177,car,route_11,472.61756490000005
N_7183,car,route_11,473.3652769
N_7192,car,route_9,473.88982630000004
N_7214,car,route_9,475.83320150000003
N_7228,car,route_11,476.3555855
N_7232,car,route_11,476.7274509
N_7268,car,route_9,479.41131140000005
N_7295,car,route_9,481.05191080000003
N_7307,car,route_9,482.0939182
N_7347,car,route_10,484.4690774
N_7356,car,route_10,485.0668031
N_7361,car,route_9,485.43674150000004
N_7362,car,route_10,485.58517720000003
N_7441,car,route_10,489.9643024
N_7442,car,route_10,490.1127364
N_7446,car,route_10,490.26024820000004
N_7484,car,route_10,493.4491598
N_7486,car,route_10,493.59770970000005
N_7493,car,route_9,494.0484859
