S_Name,Class,Direction,Time
S_14007,motorcycle,route_3,969.3266382
S_14066,motorcycle,route_4,975.4672247000001
S_14069,motorcycle,route_4,975.6117655
S_14314,car,route_4,999.436716
S_14322,car,route_4,999.5830862
S_14332,truck,route_4,1000.6833318
S_14338,truck,route_4,1001.5596341
S_14347,truck,route_4,1002.5099021000001
S_14350,truck,route_4,1002.6580969
S_14353,truck,route_4,1002.8780350000001
S_14359,truck,route_4,1003.1004743000001
S_14372,bus,route_4,1004.2720442000001
S_14380,truck,route_4,1004.7082348
S_14387,truck,route_4,1004.9290264
S_14390,truck,route_4,1005.1472666000001
S_14412,truck,route_4,1006.8326009
S_14489,motorcycle,route_4,1013.2515423000001
S_14492,motorcycle,route_4,1013.4705537000001
S_14497,motorcycle,route_4,1013.9796169
S_14684,motorcycle,route_4,1033.6407198
S_14982,car,route_4,1071.0230941
S_15278,car,route_4,1110.8087581999998
S_15282,car,route_4,1111.1790538999999
S_15295,car,route_4,1112.1976961
S_15300,car,route_4,1112.4926861
S_15446,car,route_4,1120.552238
S_15449,car,route_4,1120.6972726
S_15467,car,route_4,1121.4320735
S_15473,car,route_4,1121.6522783
S_15489,car,route_4,1122.0173436
S_15504,car,route_4,1122.2366534
S_15513,car,route_4,1122.4583225
S_15554,car,route_4,1124.2207584
S_15617,car,route_4,1126.7061655999998
S_15878,car,route_5,1142.2836215
S_15895,car,route_5,1143.2374757999999
S_15898,motorcycle,route_3,1143.5287736
S_15936,car,route_4,1149.0076368
S_16083,car,route_4,1163.5353539999999
S_16095,car,route_4,1163.9744185
S_16101,car,route_4,1164.3373686
S_16103,car,route_4,1164.4849911
S_16105,car,route_4,1164.7030303
S_16112,car,route_4,1165.4319921
S_16121,car,route_4,1166.6738166
S_16122,car,route_4,1166.8917116
S_16166,car,route_4,1169.9641854
S_16208,motorcycle,route_3,1172.5221291999999
S_16216,motorcycle,route_3,1172.8138761999999
S_16312,car,route_5,1178.6742078
S_16319,car,route_4,1179.0461787
S_16433,motorcycle,route_3,1182.3840693999998
S_16468,motorcycle,route_3,1183.3398207999999
S_16544,car,route_5,1186.1933508
S_16559,car,route_4,1187.068859
S_14692,car,route_5,1190.2263616999999
S_16719,car,route_4,1191.3950449
S_16721,car,route_4,1191.6149114999998
S_16725,car,route_4,1191.9785043
S_16730,car,route_3,1193.5901291999999
S_16776,car,route_4,1194.1745482
S_16790,car,route_4,1194.4676815999999
S_16798,car,route_4,1194.6870018
S_16875,motorcycle,route_3,1196.3029741
S_16921,motorcycle,route_3,1196.9587966
S_16923,motorcycle,route_4,1196.9588133999998
S_16939,motorcycle,route_3,1197.1817127
S_17060,car,route_4,1199.5257348999999
S_17089,motorcycle,route_3,1200.1117522
S_17095,car,route_4,1200.2621795999999
S_17118,motorcycle,route_4,1201.0713661999998
S_17188,car,route_5,1204.3543705
S_17186,car,route_3,1204.5024173
S_17244,car,route_3,1204.6651210999999
S_17249,car,route_3,1204.8986012
S_17256,car,route_3,1205.270943
S_17381,car,route_5,1208.5135659
S_17385,car,route_5,1208.7319747
S_17394,car,route_3,1209.0984478
S_17405,car,route_5,1209.3182373
S_17409,truck,route_3,1209.4640201999998
S_17420,motorcycle,route_4,1209.6861096
S_17449,car,route_5,1210.8540051
S_17494,car,route_3,1211.5121173
S_17510,car,route_3,1211.9534092
S_17521,car,route_5,1212.3189825
S_17528,car,route_5,1212.5392952999998
S_17565,car,route_4,1213.9336606
S_17570,car,route_4,1214.0779131
S_17436,car,route_3,1214.1506709999999
S_17593,car,route_4,1214.812807
S_17644,car,route_5,1216.5626731
S_17654,car,route_3,1217.0724198999999
S_17694,car,route_4,1217.9491662
S_17706,car,route_5,1218.393231
S_17710,car,route_5,1218.6845609
S_17724,car,route_4,1219.0535664
S_17726,car,route_4,1219.2753321999999
S_17725,motorcycle,route_4,1219.4241306
S_17737,car,route_4,1219.859195
S_17748,car,route_4,1220.0098664999998
S_17740,car,route_3,1220.0828259999998
S_17753,car,route_4,1220.1593679
S_17759,car,route_4,1220.3059676999999
S_17764,car,route_4,1220.4542311
S_17770,car,route_4,1221.327078
S_17784,motorcycle,route_3,1221.8400322
S_17787,car,route_3,1222.7879868
S_17816,car,route_4,1222.9331577
S_17863,car,route_4,1224.3285227
S_17752,car,route_5,1224.5460117
S_17866,car,route_4,1224.61818
S_17695,car,route_3,1225.4245462
S_17912,car,route_4,1228.0594538
S_17941,car,route_4,1230.4018205999998
S_17924,car,route_3,1231.0607813
S_17903,truck,route_3,1232.2229343
S_17967,car,route_3,1235.5880691999998
S_17999,motorcycle,route_4,1236.0216953
S_18019,car,route_3,1237.0434942
S_18024,car,route_4,1237.9201618
S_18010,car,route_3,1238.4338378999998
S_18029,car,route_4,1239.0148694
S_18045,car,route_4,1242.2212206
S_18063,car,route_4,1243.3859846
S_18000,car,route_3,1243.531505
S_18053,car,route_4,1244.6181259999998
S_18076,car,route_3,1244.6924926
S_18065,car,route_3,1244.9104381999998
S_18110,car,route_4,1247.7478839999999
S_18071,car,route_3,1247.8927118
S_18129,car,route_4,1248.7704875
S_18130,car,route_4,1248.8428317
S_18134,car,route_4,1249.2777181
S_18137,car,route_4,1249.422134
S_18138,car,route_4,1249.5691325
S_18154,motorcycle,route_3,1251.9713935999998
S_18072,car,route_3,1253.6448432999998
S_18181,car,route_4,1254.2996856999998
S_18230,car,route_4,1261.7988701
S_18248,car,route_4,1262.3096472
S_18249,car,route_4,1262.5991468
S_18250,car,route_4,1262.9639813
S_18253,motorcycle,route_4,1263.5437333
S_18256,car,route_4,1263.9780078
S_18260,motorcycle,route_4,1264.1989406
S_18262,car,route_4,1264.3439709
S_18264,car,route_4,1264.4934624999999
S_18211,car,route_3,1264.7882218999998
S_18267,car,route_4,1264.7882551999999
S_18270,motorcycle,route_3,1265.0778464
S_18273,car,route_4,1265.2951428
S_18275,motorcycle,route_3,1265.4402656
S_18276,car,route_4,1265.4402824
S_18241,truck,route_5,1266.168152
S_18287,car,route_3,1266.2400298999999
S_18290,car,route_3,1266.5316219
S_18296,car,route_3,1266.8952209
S_18303,car,route_3,1267.1917604
S_18310,car,route_4,1267.6366543
S_18329,car,route_4,1268.5135799999998
S_18344,car,route_5,1269.1713816
S_18349,car,route_3,1269.4651721999999
S_18350,car,route_3,1269.4651855
S_18357,car,route_3,1269.6831307
S_18337,motorcycle,route_3,1270.3408284999998
S_18376,motorcycle,route_3,1270.8483257
S_18392,motorcycle,route_3,1271.6572448
S_18395,car,route_5,1271.8026668999998
S_18410,motorcycle,route_3,1272.5323945999999
S_18415,motorcycle,route_3,1272.9683006
S_18422,car,route_4,1273.480744
S_18308,car,route_3,1275.3861485
S_18537,motorcycle,route_3,1277.6640883999999
