N_Name,Class,Direction,Time
N_7077,motorcycle,route_9,811.6960255
N_7085,motorcycle,route_9,812.2783634
N_7102,motorcycle,route_9,813.3741408
N_7104,motorcycle,route_9,813.7364466
N_7134,motorcycle,route_9,818.4075776
N_7170,motorcycle,route_10,821.1785456
N_7178,motorcycle,route_10,821.8388999
N_7169,motorcycle,route_9,824.0250536
N_7194,motorcycle,route_9,824.3911855
N_7195,motorcycle,route_9,824.5366624000001
N_7227,motorcycle,route_9,832.3217267
N_7230,motorcycle,route_9,832.6130241
N_7252,motorcycle,route_10,836.394952
N_7257,motorcycle,route_10,836.6851202
N_7258,motorcycle,route_10,836.8347889
N_7263,motorcycle,route_9,837.3408548
N_7300,motorcycle,route_10,842.6567357
N_7302,motorcycle,route_10,842.8742687
N_7303,motorcycle,route_10,843.0919372
N_7331,motorcycle,route_9,846.0102052
N_7396,car,route_10,852.8537985
N_7402,car,route_9,854.1475059
N_7494,motorcycle,route_10,861.6567221
N_7579,motorcycle,route_10,866.7438
N_7588,motorcycle,route_9,867.2607342
N_7590,motorcycle,route_9,867.477989
N_7652,motorcycle,route_11,874.5699398
N_7657,motorcycle,route_9,874.6415138
N_7666,motorcycle,route_10,875.5860189
N_7690,motorcycle,route_10,877.7640532
N_7701,motorcycle,route_9,878.6398513
N_7704,motorcycle,route_9,878.9267785000001
N_7719,motorcycle,route_9,880.0122635
N_7739,motorcycle,route_9,881.9656911000001
N_7790,motorcycle,route_9,891.2477067
N_7801,motorcycle,route_10,892.4129437
N_7856,motorcycle,route_9,902.2171136000001
N_7866,motorcycle,route_9,904.7568262
N_7914,motorcycle,route_9,906.2834659
N_7917,motorcycle,route_9,906.7242487
N_7919,motorcycle,route_9,906.7242672
N_7938,motorcycle,route_9,909.1159605
N_7958,motorcycle,route_9,910.709261
N_7975,motorcycle,route_11,912.0170134
N_7979,motorcycle,route_11,912.6739167000001
N_7989,motorcycle,route_9,913.2573508
N_7987,motorcycle,route_10,914.8653684
N_8028,motorcycle,route_9,917.4100727
N_8024,car,route_10,918.5015059
N_8078,motorcycle,route_9,924.0459765
N_8095,motorcycle,route_9,924.3419077
N_8107,motorcycle,route_10,926.6643677000001
N_8144,motorcycle,route_9,929.9502588
N_8205,motorcycle,route_9,936.2442392
N_8226,motorcycle,route_9,936.390064
N_8224,motorcycle,route_9,936.4624021
N_8251,motorcycle,route_9,938.8768147000001
N_8257,motorcycle,route_9,939.2436688
N_8271,motorcycle,route_9,940.3393994
N_8282,motorcycle,route_10,941.069429
N_8305,motorcycle,route_9,942.9826863000001
N_8318,motorcycle,route_9,943.1998205
N_8366,motorcycle,route_9,946.4245112
N_8417,motorcycle,route_9,949.8620251
N_8420,motorcycle,route_9,950.0798234
N_8445,bus,route_10,951.6830312
N_8512,motorcycle,route_9,956.4917113
N_8518,motorcycle,route_9,956.7112791000001
N_8418,car,route_10,958.9780229
N_8537,car,route_10,959.1237159
N_8546,truck,route_10,959.7841815
N_8561,motorcycle,route_9,961.1698667000001
N_8566,car,route_10,961.6805087
N_8571,motorcycle,route_9,962.118095
N_8640,motorcycle,route_9,967.595475
N_8687,motorcycle,route_9,970.2270214
N_8692,motorcycle,route_9,970.4467933
N_8753,motorcycle,route_9,976.4488599
N_8759,car,route_9,977.322527
N_8762,car,route_9,977.8336871
N_8765,car,route_9,977.9859511
N_8787,motorcycle,route_9,981.0522893
N_8807,motorcycle,route_9,983.245004
N_8827,motorcycle,route_9,985.5899071
N_8852,motorcycle,route_9,988.1426372
N_8943,truck,route_10,1000.2036221
N_8968,car,route_9,1003.8518661
N_9011,car,route_9,1004.361257
N_9003,car,route_10,1006.7714771
N_9050,car,route_10,1007.1367907
N_9152,car,route_10,1011.9604827000001
N_9156,car,route_10,1012.251847
N_9245,motorcycle,route_9,1016.7626993
N_9262,motorcycle,route_9,1018.643654
N_9297,motorcycle,route_9,1020.8184453
N_9302,car,route_10,1021.6898234
N_9310,car,route_10,1022.1261504
N_9322,truck,route_10,1022.7789703999999
N_9342,car,route_10,1027.1496402
N_9370,car,route_10,1027.43869
N_9372,car,route_10,1027.5831064
N_9373,car,route_10,1027.7306163
N_9377,car,route_10,1028.315973
N_9376,car,route_10,1028.8960831
N_9441,car,route_10,1033.0575727
N_9473,truck,route_10,1035.1682622
N_9483,car,route_10,1039.8989989
N_9559,motorcycle,route_9,1040.69915
N_9572,motorcycle,route_9,1041.0623962
N_9608,motorcycle,route_9,1044.5606472
N_9728,motorcycle,route_9,1051.4277688
N_9772,truck,route_10,1054.274156
N_9777,truck,route_10,1054.4936868
N_9784,truck,route_10,1055.0064388
N_9831,truck,route_10,1058.3718109000001
N_9880,truck,route_10,1061.5829168
N_9886,motorcycle,route_9,1062.2465975
N_9906,motorcycle,route_9,1063.0497242000001
N_10013,truck,route_10,1071.9794001
N_10021,truck,route_10,1073.0005566
N_10195,motorcycle,route_9,1087.4706584
N_10200,motorcycle,route_9,1088.1317293
N_10320,motorcycle,route_9,1095.4289196
N_10355,motorcycle,route_9,1098.6368701000001
N_10099,truck,route_10,1098.7846525
N_10280,car,route_10,1104.3997829
N_10427,car,route_10,1105.3524199
N_10431,car,route_10,1105.643787
N_10504,motorcycle,route_9,1113.0155533
N_10547,motorcycle,route_9,1115.5007821
N_10599,truck,route_10,1119.3788884
N_10702,motorcycle,route_9,1128.7255451
N_10716,motorcycle,route_9,1129.1619697
N_10833,truck,route_11,1140.0554834
N_10872,truck,route_11,1142.2476178
N_10893,motorcycle,route_9,1143.1296445
N_10958,motorcycle,route_9,1145.6123942
N_11007,car,route_10,1150.149614
N_11111,car,route_10,1150.3690473
N_11149,car,route_10,1151.5344697
N_11122,truck,route_10,1151.6074128
N_11157,truck,route_10,1151.8248888
N_11158,car,route_9,1152.1188053
N_11169,car,route_10,1152.4084407
N_11174,car,route_9,1152.5537416
N_11185,car,route_10,1152.990225
N_11207,motorcycle,route_9,1153.7886506
N_11217,motorcycle,route_9,1154.0846311
N_11234,truck,route_10,1154.8181314
N_11244,truck,route_10,1155.1098181
N_11222,car,route_10,1156.4976272000001
N_11309,truck,route_10,1157.5205546
N_11320,truck,route_10,1157.9544927
N_11326,truck,route_9,1158.172154
N_11348,car,route_10,1159.3416681
N_11317,car,route_10,1165.8415592000001
N_11476,motorcycle,route_9,1166.5720813
N_11490,car,route_9,1168.5391158
N_11511,car,route_10,1169.6315358
N_11548,bus,route_10,1171.7493479
N_11558,truck,route_10,1172.0461424
N_11601,bus,route_10,1174.5931255
N_11608,bus,route_10,1175.1705183
N_11613,bus,route_10,1175.6030237
N_11620,motorcycle,route_9,1176.2593561
N_11621,motorcycle,route_9,1176.5473674
N_11626,motorcycle,route_9,1176.9122179
N_11646,motorcycle,route_9,1180.5491931
N_11676,motorcycle,route_9,1182.291805
N_11681,motorcycle,route_10,1182.3680374
N_11733,motorcycle,route_11,1186.8876491
N_11688,motorcycle,route_9,1187.7603031
N_11758,motorcycle,route_9,1188.5636748
N_11771,motorcycle,route_9,1189.2168389
N_11774,motorcycle,route_9,1189.3656518
N_11785,motorcycle,route_10,1190.9732618
N_11827,motorcycle,route_9,1192.8679041
N_11835,motorcycle,route_9,1193.1613803
N_11880,motorcycle,route_9,1199.8781713
N_11943,motorcycle,route_10,1200.5401271
N_11945,motorcycle,route_9,1202.7247299
N_11921,car,route_10,1205.8627683
N_12020,motorcycle,route_9,1206.0080443
N_12064,motorcycle,route_9,1210.3083304
N_12068,motorcycle,route_10,1212.2118093
N_12123,motorcycle,route_9,1218.3512375
N_12153,motorcycle,route_11,1218.5685902
N_12184,car,route_10,1229.5385487
N_12255,motorcycle,route_9,1230.7086903
N_12273,car,route_10,1232.4707772
N_12246,car,route_9,1235.1759532
N_12444,truck,route_9,1252.7044998000001
N_12490,motorcycle,route_11,1256.9437051
N_12518,motorcycle,route_9,1259.2753914
N_12530,motorcycle,route_9,1264.5343565
N_12577,motorcycle,route_9,1265.5571013
N_12611,motorcycle,route_9,1270.10083
N_12624,car,route_9,1271.4971704
N_12651,car,route_9,1273.7587392
N_12585,car,route_9,1274.1277076000001
N_12711,motorcycle,route_9,1283.9791499
N_12715,motorcycle,route_9,1284.2699107
N_12755,motorcycle,route_9,1287.5611008
N_12797,motorcycle,route_9,1290.9168643
N_12810,motorcycle,route_9,1291.7240531
N_12950,motorcycle,route_10,1299.0368878
N_12969,motorcycle,route_10,1299.6349825
N_12974,motorcycle,route_10,1299.7838758
N_12990,truck,route_10,1300.3767291
N_13012,motorcycle,route_10,1302.1124086
N_13021,car,route_10,1302.7231073
N_13033,car,route_10,1304.6111576
N_13071,motorcycle,route_9,1304.9473065
N_13076,car,route_9,1305.8035081
N_13084,motorcycle,route_9,1306.7803763
N_13086,motorcycle,route_9,1306.9456683
N_13057,car,route_9,1309.0735239
N_13123,car,route_11,1310.0641266
N_13143,motorcycle,route_9,1311.2896556
N_13094,car,route_9,1313.1715509
N_13183,car,route_9,1313.3391510000001
N_13204,car,route_9,1314.2522407000001
N_13201,car,route_9,1314.3371902000001
N_13200,motorcycle,route_10,1314.3372133
N_13305,motorcycle,route_10,1322.7401107
N_13328,motorcycle,route_10,1325.2407694
N_13343,motorcycle,route_10,1325.738396
N_13362,motorcycle,route_10,1328.6750138
N_13321,car,route_10,1329.9813176
N_13391,motorcycle,route_9,1331.2800691
N_13405,motorcycle,route_9,1331.5098857
N_13408,motorcycle,route_9,1331.5859533
N_13462,motorcycle,route_9,1336.1242959
N_13481,motorcycle,route_10,1338.0126606000001
N_13527,motorcycle,route_9,1341.232202
N_13395,car,route_10,1345.948036
N_13632,motorcycle,route_9,1347.2016634
N_13651,motorcycle,route_9,1347.8227386
N_13468,car,route_10,1348.4565217
N_13671,motorcycle,route_9,1349.8181953
N_13706,motorcycle,route_9,1353.7547719
N_13714,motorcycle,route_9,1354.3261385
N_13705,motorcycle,route_9,1355.2357202
N_13751,car,route_11,1357.2783901
N_13757,car,route_11,1357.607168
N_13736,motorcycle,route_9,1357.7712508
N_13772,motorcycle,route_11,1358.9941430000001
N_13786,motorcycle,route_11,1359.8008207
N_13811,motorcycle,route_9,1362.7843403
N_13822,motorcycle,route_11,1363.2206314
N_13678,car,route_9,1364.2772843
N_13860,motorcycle,route_10,1366.3905385
N_13903,car,route_10,1369.1022079
N_13909,car,route_10,1369.5696922
N_13921,motorcycle,route_11,1371.0787518
N_13908,motorcycle,route_9,1372.289835
N_13936,motorcycle,route_9,1372.4553799
N_13977,car,route_9,1376.0588698
N_13981,car,route_9,1376.2264932
N_13980,motorcycle,route_9,1377.2036035
N_13999,motorcycle,route_11,1377.6875289
N_14029,motorcycle,route_9,1380.1077596
N_14030,motorcycle,route_9,1380.3459591
N_14009,motorcycle,route_9,1382.5209737
N_14078,motorcycle,route_9,1383.2694696
N_14084,motorcycle,route_9,1383.5146816
N_14197,motorcycle,route_9,1392.6330152
N_14251,motorcycle,route_10,1398.85287
N_14262,motorcycle,route_10,1399.2252006
N_14302,motorcycle,route_9,1402.5862037
N_14305,motorcycle,route_9,1402.806947
N_14304,motorcycle,route_9,1403.0288811
N_14316,motorcycle,route_9,1403.4679214
N_14351,car,route_10,1408.7476866
N_14422,motorcycle,route_9,1412.8584516
N_14446,truck,route_10,1415.2047845
N_14450,truck,route_10,1415.3516051
N_14454,truck,route_10,1415.5710908
N_14463,car,route_10,1416.3804401
N_14467,car,route_10,1416.599427
N_14471,car,route_10,1416.748075
N_14483,bus,route_10,1417.3326312
N_14487,car,route_10,1417.6997197
N_14492,car,route_10,1418.0650803
N_14516,motorcycle,route_10,1420.5727786
N_14582,car,route_10,1425.9171989
N_14591,car,route_10,1426.2839
N_14501,car,route_9,1427.8314102
N_14692,car,route_10,1432.0088695
N_14700,truck,route_10,1432.9625529
N_14701,car,route_10,1433.5445676
N_14712,car,route_10,1434.2047588
N_14715,motorcycle,route_9,1434.3507557
N_14733,truck,route_10,1435.3030542
N_14736,truck,route_10,1435.4489619
N_14742,motorcycle,route_9,1435.9591921
N_14745,motorcycle,route_9,1436.1041411
N_14747,motorcycle,route_9,1436.2489875
N_14753,motorcycle,route_9,1436.6145509
N_14758,motorcycle,route_9,1436.980064
N_14760,car,route_10,1437.1266439
