Name,Class,Direction,Time
S_142291,car,route_4,12311.7035669
W_182135,car,route_1,12311.7204012
S_142293,car,route_4,12311.8484634
W_182149,car,route_0,12311.8796591
S_142298,car,route_4,12311.9930002
S_142302,car,route_4,12312.5037653
S_142304,car,route_5,12312.7220333
W_182165,car,route_1,12312.7690329
E_135613,car,route_7,12312.8864844
W_182171,car,route_1,12312.9309009
S_142312,car,route_4,12313.0863994
W_182174,car,route_1,12313.0896762
S_142321,car,route_4,12313.3049086
S_142332,car,route_4,12313.888577
W_182202,car,route_0,12314.2848116
W_182204,car,route_1,12314.3650874
W_182210,car,route_1,12314.5272452
W_182215,car,route_1,12314.8501608
W_182222,car,route_1,12315.0109028
W_182232,car,route_1,12315.4941192
W_182199,truck,route_2,12315.4941943
W_182239,car,route_0,12315.8953611
S_142368,car,route_5,12315.9354019
E_135687,car,route_8,12316.3925436
S_142387,car,route_4,12316.6644958
S_142395,car,route_4,12317.1756115
W_182277,truck,route_0,12317.3423048
W_182282,car,route_2,12317.8247619
S_142430,car,route_4,12319.0795039
E_135727,car,route_8,12319.826184
S_142447,car,route_5,12320.3914215
S_142454,car,route_5,12320.9023353
S_142484,car,route_4,12322.8062229
S_142449,car,route_3,12322.8791304
S_142493,car,route_4,12323.4662863
S_142497,car,route_5,12323.6873185
S_142504,car,route_5,12324.7846186
S_142509,car,route_4,12325.2997151
S_142512,car,route_4,12325.5176576
S_142515,car,route_5,12325.8120236
S_142538,car,route_4,12327.7095634
S_142553,car,route_4,12328.876756
S_142555,car,route_4,12329.0990427
S_142587,car,route_5,12331.3730501
S_142596,car,route_4,12331.6693719
W_182567,car,route_0,12332.085578
W_182596,car,route_0,12332.7221519
W_182619,car,route_0,12333.3636739
S_142632,car,route_4,12334.23876
S_142639,car,route_4,12334.8976429
S_142645,car,route_4,12335.0449093
W_182695,car,route_2,12335.3646862
S_142647,car,route_4,12335.4112899
W_182717,car,route_2,12335.7656777
S_142652,truck,route_4,12335.776947
W_182730,car,route_2,12336.0821719
S_142660,car,route_5,12336.1431556
W_182737,car,route_2,12336.4044748
S_142671,car,route_5,12337.0957822
S_142680,car,route_4,12337.9004706
W_182791,car,route_2,12337.9257928
S_142682,car,route_5,12337.9738947
W_182799,car,route_2,12338.1682581
W_182804,car,route_2,12338.40606
S_142688,car,route_5,12338.4150061
E_135881,car,route_7,12339.135505
S_142703,car,route_5,12339.2251021
S_142707,car,route_5,12339.517369
S_142708,car,route_5,12339.7365212
S_142718,car,route_4,12340.1783757
S_142713,car,route_3,12340.2521331
W_182894,truck,route_0,12340.3499281
S_142720,car,route_4,12340.4721327
W_182925,car,route_0,12340.8353209
S_142731,car,route_4,12341.2908257
S_142733,car,route_4,12341.3664842
S_142734,car,route_4,12341.4401423
S_142740,car,route_4,12341.9568042
S_142746,car,route_5,12342.4046203
S_142761,truck,route_4,12342.8470143
W_183015,motorcycle,route_1,12343.1624678
S_142766,car,route_4,12343.3663831
S_142772,truck,route_4,12343.8092473
S_142774,car,route_4,12343.9564339
S_142777,truck,route_3,12344.2515593
W_183073,car,route_1,12344.854256
W_183047,car,route_1,12344.8543738
W_183086,car,route_1,12345.3364457
E_135973,car,route_7,12346.4307841
W_183115,car,route_1,12346.7052948
W_183118,car,route_1,12346.8665098
W_183128,car,route_1,12347.1884784
W_183138,car,route_1,12347.668015
S_142826,car,route_4,12349.9298596
S_142831,car,route_4,12350.2282795
W_183157,truck,route_0,12350.2454295
S_142837,car,route_5,12350.5980473
W_183170,car,route_2,12350.9663546
S_142842,car,route_4,12351.0398617
S_142847,car,route_5,12351.1904639
W_183201,car,route_2,12351.3718436
W_183112,car,route_1,12351.6150956
S_142858,car,route_4,12351.6348049
W_183203,truck,route_2,12351.8601873
S_142863,car,route_4,12352.0783122
S_142875,car,route_4,12352.5939635
W_183236,truck,route_2,12352.8293153
S_142880,car,route_4,12352.9640847
W_183261,car,route_1,12353.9634411
