N_Name,Class,Direction,Time
N_5404,motorcycle,route_10,239.2403845
N_5410,motorcycle,route_10,239.47138900000002
N_5421,car,route_10,239.7752687
N_5427,car,route_10,239.92984180000002
N_5432,car,route_10,240.16189310000001
N_5443,car,route_10,240.3886904
N_5406,motorcycle,route_9,240.46449570000001
N_5449,motorcycle,route_9,240.7705345
N_5459,car,route_10,240.7705711
N_5466,motorcycle,route_9,241.1542631
N_5474,car,route_10,241.3818526
N_5480,car,route_10,241.53741780000001
N_5525,car,route_10,243.0079053
N_5536,car,route_10,243.4666058
N_5549,motorcycle,route_9,243.8499133
N_5553,motorcycle,route_9,244.00142050000002
N_5555,motorcycle,route_9,244.0014494
N_5556,car,route_10,244.0014577
N_5562,car,route_9,244.2279929
N_5568,car,route_10,244.3040585
N_5580,car,route_10,244.7648504
N_5584,car,route_10,244.9206552
N_5618,car,route_10,245.690683
N_5628,car,route_10,245.994617
N_5642,car,route_10,246.2999241
N_5649,car,route_10,246.52998530000002
N_5645,motorcycle,route_9,246.76347950000002
N_5630,motorcycle,route_9,246.83876700000002
N_5658,motorcycle,route_9,246.9150633
N_5668,car,route_10,247.0721762
N_5676,motorcycle,route_11,247.37710270000002
N_5680,motorcycle,route_9,247.4568992
N_5686,motorcycle,route_9,247.6853156
N_5705,car,route_10,248.4549974
N_5709,car,route_10,248.6074134
N_5694,motorcycle,route_9,248.8369548
N_5726,motorcycle,route_9,249.0650373
N_5727,motorcycle,route_9,249.1440628
N_5739,motorcycle,route_9,250.2205735
N_5673,motorcycle,route_9,251.2253279
N_5784,motorcycle,route_9,251.7608309
N_5615,car,route_9,251.91106020000004
N_5821,motorcycle,route_9,254.7714382
N_5863,motorcycle,route_9,254.99905300000003
N_5875,car,route_10,255.3881926
N_5881,motorcycle,route_9,255.61605620000003
N_5891,car,route_10,256.0826657
N_5895,car,route_10,256.2351822
N_5835,car,route_9,258.2267879
N_5937,car,route_10,258.3028046
N_5951,car,route_10,258.99241229999996
N_5957,car,route_9,259.14935349999996
N_5961,car,route_10,259.22612549999997
N_5994,motorcycle,route_9,261.3868457
N_6006,motorcycle,route_9,262.22383859999997
N_6023,motorcycle,route_9,262.9902624
N_6031,motorcycle,route_9,263.5234921
N_5770,car,route_9,264.8201231
N_6053,motorcycle,route_10,265.20970639999996
N_5788,car,route_9,267.1240613
N_6102,car,route_9,268.2751828
N_6109,car,route_9,268.8061376
N_6156,car,route_9,272.4132998
