E_Name,Class,Direction,Time
E_32221,car,route_7,6206.953108
E_32286,car,route_6,6223.9821519
E_32302,car,route_6,6227.954910099999
E_32300,bus,route_8,6229.348164999999
E_32368,car,route_6,6231.4722059
E_32370,car,route_6,6231.766347
E_32379,truck,route_8,6234.3586055999995
E_32314,car,route_6,6234.871675699999
E_32471,car,route_6,6239.3802809
E_32474,car,route_6,6239.5262883
E_32496,motorcycle,route_7,6240.849548599999
E_32462,car,route_8,6240.9225663
E_32397,car,route_6,6241.7253015
E_32501,car,route_6,6245.4735271
E_32526,car,route_8,6246.4272666
E_32538,car,route_6,6249.2219151
E_32558,car,route_8,6249.4419394999995
E_32585,car,route_6,6253.5476626
E_32617,car,route_6,6256.7708544
E_32641,car,route_8,6256.988783299999
E_32640,car,route_8,6257.279568999999
E_32651,car,route_6,6257.6435609
E_32654,truck,route_8,6257.8664235
E_32624,car,route_6,6263.1390212999995
E_32725,car,route_7,6264.1633034
E_32684,car,route_6,6265.268298999999
E_32740,bus,route_8,6267.924563699999
E_32793,motorcycle,route_7,6268.2168710999995
E_32719,car,route_6,6268.950207
E_32700,car,route_7,6271.438270799999
E_32729,car,route_6,6271.9496357
E_32825,car,route_6,6272.3133668
E_32804,car,route_6,6275.244172799999
E_32840,car,route_8,6276.4144976
E_32851,car,route_6,6276.9961729
E_32859,car,route_8,6277.6574512
E_32867,car,route_6,6277.9481884
E_32868,motorcycle,route_7,6278.020892199999
E_32830,car,route_7,6279.708893499999
E_32884,motorcycle,route_6,6280.000910299999
E_32983,car,route_7,6306.974952
E_33019,bus,route_7,6310.264346399999
E_33047,motorcycle,route_6,6311.9470542
E_33049,motorcycle,route_6,6312.091892699999
E_33072,car,route_7,6323.5520974
E_33133,truck,route_7,6345.1173908
E_33152,motorcycle,route_6,6347.970366
E_33176,motorcycle,route_7,6351.0335577
E_33170,motorcycle,route_6,6351.1771435
E_33168,car,route_6,6354.308053899999
E_33201,car,route_8,6355.327009199999
E_33224,truck,route_8,6356.4267629
E_33253,motorcycle,route_7,6359.0596594
