W_Name,Class,Direction,Time
W_12882,bus,route_1,474.84834789999996
W_12959,car,route_0,474.92162479999996
W_12965,car,route_0,475.06846989999997
W_12980,truck,route_0,475.730981
W_13001,car,route_0,476.8394555
W_13016,car,route_0,477.35223229999997
W_13021,car,route_0,477.7218742
W_13030,truck,route_0,477.9430137
W_13036,car,route_0,478.3798571
W_13049,truck,route_0,478.8204355
W_13102,car,route_0,480.722696
W_13115,truck,route_0,481.6753295
W_13164,bus,route_1,485.6423446
W_13232,car,route_0,486.2337397
W_13245,car,route_0,486.4555289
W_13277,car,route_0,487.7062471
W_13281,bus,route_1,487.92631259999996
W_13285,car,route_0,487.99844929999995
W_13312,truck,route_1,490.2821102
W_13168,car,route_2,491.31513229999996
W_13385,car,route_2,492.12448229999995
W_13379,bus,route_1,492.27030199999996
W_13393,car,route_2,492.34292259999995
W_13408,car,route_0,493.07815519999997
W_13415,car,route_0,493.44725059999996
W_13423,truck,route_0,493.81566849999996
W_13475,truck,route_0,496.5322738
W_13534,truck,route_0,498.4482586
W_13538,truck,route_0,498.6691821
W_13552,bus,route_1,502.48360349999996
W_13657,truck,route_0,503.73404889999995
W_13689,bus,route_1,504.76560689999997
W_13688,car,route_2,504.91095349999995
W_13692,bus,route_1,505.13095489999995
W_13710,car,route_2,505.86634339999995
W_13732,car,route_0,506.82143879999995
W_13802,bus,route_1,510.20169809999993
W_13820,car,route_0,510.7151003
W_13862,truck,route_0,512.8510676999999
W_13867,truck,route_0,512.9975557
W_13874,car,route_2,513.5064467999999
W_13882,truck,route_0,513.800995
W_13890,car,route_2,514.1662077
W_13898,car,route_2,514.606097
W_13878,bus,route_1,515.7064995
W_14067,car,route_2,521.1234829
W_14077,car,route_2,521.6375961
W_14086,car,route_2,521.9308227
W_14088,car,route_2,522.0763825
W_14116,truck,route_2,524.2102671
W_14118,truck,route_1,524.3569388999999
W_14121,truck,route_1,525.8952112
W_14149,truck,route_0,526.1133497
W_14198,truck,route_1,528.1680084
W_14201,truck,route_0,528.5335216
W_14209,truck,route_1,529.0476788999999
W_14208,truck,route_0,529.1934789
W_14291,truck,route_1,532.8569418
W_14313,truck,route_1,533.6636662999999
W_14319,truck,route_1,533.8830802
W_14331,truck,route_1,534.3969572999999
W_14335,truck,route_1,534.5430726999999
W_14349,truck,route_0,534.8391546
W_14356,truck,route_0,534.9859111999999
W_14355,truck,route_1,535.1340246
W_14363,truck,route_0,535.2073613
W_14381,truck,route_0,535.6466455
W_14385,truck,route_1,535.7909615
W_14390,car,route_0,535.9418539999999
W_14403,bus,route_1,536.7452489
W_14419,truck,route_0,536.8206361
W_14424,car,route_2,537.1119143999999
W_14427,truck,route_0,537.2580217999999
W_14428,car,route_2,537.4039445999999
W_14432,truck,route_0,537.5497571
W_14435,car,route_2,537.7741113
W_14440,truck,route_0,537.9216708
W_14443,car,route_2,538.2872977
W_14445,truck,route_0,538.4330291
W_14450,truck,route_0,538.8027654
W_14462,bus,route_1,539.8247537
W_14465,car,route_0,540.1167211
W_14483,car,route_0,541.4379258
W_14549,car,route_0,546.1961469
W_14556,truck,route_0,546.6346988
W_14559,truck,route_0,546.8529493
W_14567,truck,route_0,547.5168871
W_14586,truck,route_2,548.3231025
W_14591,truck,route_0,548.7631203
W_14595,truck,route_0,548.9845657999999
W_14598,truck,route_0,549.1308415999999
W_14619,car,route_0,550.0815999
W_14708,car,route_2,553.4473935999999
W_14713,truck,route_1,553.7404809999999
W_14720,car,route_2,554.2513465
W_14731,car,route_0,554.7649142
W_14765,bus,route_1,557.0455787
W_14802,truck,route_0,557.1192453
W_14812,bus,route_0,557.4863336
W_14827,truck,route_1,558.0730303
W_14876,car,route_0,559.3227233
W_14890,truck,route_0,559.6215218
W_14887,car,route_0,559.8423425999999
W_14940,car,route_0,561.1650317
W_14959,bus,route_1,562.2691449
W_15002,car,route_2,562.7110129
W_15025,car,route_0,563.1526968
W_15027,bus,route_1,563.3010207
W_15024,car,route_2,563.3743188
W_15038,car,route_2,563.5973367
W_15104,car,route_0,565.3629326
W_15179,truck,route_0,567.790404
W_15210,car,route_0,568.0133546999999
W_15217,car,route_0,568.2322674
W_15347,truck,route_2,572.5737607
W_15297,car,route_0,572.7222497
W_15359,car,route_0,572.87211
W_15372,car,route_1,573.0940908
W_15382,car,route_2,573.3195746
W_15388,car,route_0,573.539624
W_15391,car,route_2,573.6132994999999
W_15403,car,route_2,574.1257327
W_15301,car,route_1,577.4384728
W_15461,car,route_0,578.5447326
W_15522,car,route_1,579.8707151
W_15473,car,route_1,580.1638492999999
W_15535,car,route_2,580.6066367
W_15539,car,route_2,581.0499957
W_15552,truck,route_2,582.2311904
W_15576,car,route_2,582.8895628
W_15587,truck,route_2,583.2566614
W_15479,car,route_0,584.2821007
W_15639,car,route_1,585.0886472
W_15646,car,route_1,585.3832986
W_15719,car,route_1,587.9665722
W_15725,car,route_0,587.966599
W_15722,car,route_2,588.7060726999999
W_15763,car,route_2,589.4444978
W_15769,car,route_2,589.6659695
W_15770,motorcycle,route_0,589.6659811
W_15781,motorcycle,route_0,589.8915221999999
W_15784,car,route_1,590.1135707999999
W_15804,car,route_2,590.7743276
W_15848,car,route_1,593.2025338
W_15866,car,route_0,593.6454873
W_15871,car,route_0,593.7917288
W_15862,car,route_0,597.6961051999999
W_15883,car,route_0,597.9200072
W_15853,car,route_1,600.1500783
W_16028,car,route_0,601.7567305
W_15907,car,route_0,602.9774196
W_16065,car,route_1,603.5883547
W_16048,car,route_0,607.7577276
W_16037,car,route_1,609.1253535
W_16138,car,route_2,609.2717914
W_16144,car,route_2,609.5656425999999
W_16160,truck,route_2,610.4495078
W_16163,car,route_1,611.110229
W_16032,car,route_0,612.7886972
W_16221,car,route_0,613.2286381
W_16250,car,route_1,615.211405
W_16259,car,route_1,615.6494831
W_16174,car,route_1,616.0906824
W_16220,car,route_0,617.7720515
W_16276,car,route_2,617.8449115
W_16310,car,route_1,618.2863222999999
W_16321,car,route_2,618.7978598999999
W_16285,car,route_0,619.0940005
W_16315,truck,route_2,619.241865
W_16292,car,route_1,620.1933435
W_16364,truck,route_2,620.3402656
W_16373,car,route_0,620.6302095
W_16401,truck,route_2,622.6063852999999
W_16404,car,route_2,622.8318707999999
W_16407,truck,route_2,623.1953426
W_16409,truck,route_2,623.3422726
W_16369,car,route_0,625.9086718
W_16450,car,route_1,626.0542587
W_16528,motorcycle,route_2,628.0249241
W_16536,motorcycle,route_2,628.1696099
W_16586,car,route_1,629.7746741999999
W_16587,motorcycle,route_2,629.774694
W_16596,motorcycle,route_2,629.9993644
W_16601,motorcycle,route_2,630.1445539
W_16608,motorcycle,route_2,630.2935464
W_16622,car,route_0,630.6578843
W_16635,car,route_1,630.9496541
W_16467,car,route_0,631.0230904
W_16652,car,route_1,631.3191677
W_16663,car,route_1,631.5418495
W_16674,car,route_1,631.8325161
W_16729,motorcycle,route_0,634.1009561999999
W_16733,motorcycle,route_0,634.2474311
W_16803,car,route_0,637.9058405
W_16812,car,route_1,638.053196
W_16827,truck,route_2,638.6408342
W_16632,car,route_0,642.013874
W_16801,car,route_0,643.6300395
W_16893,car,route_0,643.6300709999999
W_16906,car,route_0,644.2921719
W_16919,car,route_0,645.1735080999999
W_16973,car,route_1,647.7446803
W_16989,car,route_2,648.6322794
W_16998,car,route_2,649.0748747
W_16999,car,route_1,649.0749012
W_17003,car,route_1,649.2231541
W_17013,truck,route_2,649.8139186999999
W_17018,truck,route_2,650.1091058
W_17062,car,route_2,651.8013512
W_17079,car,route_1,652.6853649999999
W_17080,car,route_2,652.7600239999999
W_17086,car,route_1,652.9136367
W_17095,car,route_1,653.5005023
W_17126,car,route_1,655.3436528999999
W_17162,car,route_1,656.9647585
W_17183,car,route_1,657.8495124
W_17190,car,route_1,658.1473248
W_17217,car,route_1,659.9135722
W_17218,truck,route_2,659.9868898999999
W_17230,truck,route_2,660.8683523999999
W_17239,car,route_1,661.4553866
W_17243,car,route_1,661.8221295999999
W_17274,car,route_0,664.4690183
W_17284,car,route_1,664.8357776
W_17309,car,route_1,666.3862663
W_17315,car,route_1,666.8300414
W_17334,car,route_1,667.7827384
W_17344,car,route_1,668.3678332
W_17354,car,route_1,669.1752295
W_17363,car,route_1,669.5411048
W_17281,car,route_2,670.4213165
W_17370,car,route_1,670.4945190999999
W_17385,car,route_1,671.9656006
W_17396,car,route_1,672.4041136999999
W_17405,car,route_1,672.8474685
W_17452,car,route_0,675.3472436999999
W_17465,car,route_1,676.01479
W_17390,car,route_2,681.5932224
W_17549,car,route_1,683.8720293
W_17552,car,route_0,685.6325274999999
W_17598,car,route_1,689.1546046
W_17605,car,route_1,689.9616348999999
W_17610,car,route_1,690.4728751
W_17614,car,route_1,690.6196562
W_17616,car,route_1,690.9139021
W_17619,car,route_1,691.1343091
W_17627,car,route_1,691.4295155
W_17634,car,route_1,692.0230881
W_17644,car,route_1,692.5357706
W_17650,car,route_1,692.97988
W_17626,car,route_0,693.1989102
W_17657,car,route_1,693.6386196
W_17667,car,route_1,694.4487455999999
W_17709,car,route_1,697.6080953
W_17718,car,route_1,698.5758058
W_17734,motorcycle,route_2,699.9740908
W_17741,car,route_1,700.3396534999999
W_17746,motorcycle,route_2,700.7814933999999
W_17738,motorcycle,route_2,701.0038850999999
W_17764,car,route_1,701.5173075
W_17780,car,route_1,702.1070421
W_17787,car,route_1,702.252901
W_17704,car,route_0,703.4977848
W_17809,car,route_1,703.5706818
W_17856,car,route_1,705.7725684999999
W_17908,car,route_1,709.5833888999999
W_17920,car,route_1,710.3138741
W_17951,car,route_1,712.8107669
W_17958,car,route_1,713.2464026
W_17971,car,route_1,713.6845450999999
W_17991,car,route_1,715.9607139
W_17993,car,route_1,716.1054574
W_17999,car,route_1,716.4765348999999
W_18003,car,route_1,716.8435850999999
W_18014,car,route_1,717.3548436
W_18018,car,route_1,717.5005539
W_18045,car,route_1,719.2605864999999
W_18052,car,route_1,719.6273343
W_18069,car,route_1,721.0197317999999
W_18067,car,route_0,721.6760194999999
W_18113,car,route_1,724.3818289999999
W_18117,car,route_1,725.1129823
W_18153,car,route_1,727.8922704
W_18154,car,route_1,728.2607909999999
W_18159,car,route_1,728.4796881
W_18161,car,route_1,728.8459589
W_18217,car,route_0,733.7524807
W_18283,car,route_1,739.8944773
W_18286,car,route_1,740.2584416999999
W_18292,car,route_1,740.6233549
W_18300,car,route_1,740.9882536
W_18322,car,route_1,742.3787052
W_18326,car,route_1,742.5253325
W_18340,car,route_0,743.6286468
W_18418,car,route_0,750.0042823
W_18438,car,route_0,751.0343895
W_18449,car,route_0,752.0641263
W_18550,car,route_1,757.2101574999999
W_18574,car,route_2,758.0991437
W_18580,car,route_2,758.8327041
W_18581,car,route_1,758.8327471
W_18584,car,route_2,759.6389055999999
W_18593,car,route_2,760.0040246
W_18600,truck,route_2,760.8164037
W_18609,car,route_1,761.0368169
W_18620,car,route_1,761.8456481
W_18625,car,route_1,762.209538
W_18628,car,route_1,762.5040073
W_18650,car,route_0,764.5620368
W_18656,car,route_0,764.7111069
W_18657,car,route_0,764.8583388999999
W_18669,car,route_0,765.812547
W_18681,car,route_0,766.9151889
W_18689,car,route_0,767.1358716
W_18479,car,route_2,767.6530961999999
W_18708,car,route_1,768.2436583
W_18709,car,route_2,768.3192786999999
W_18720,car,route_1,769.1967023999999
W_18714,bus,route_2,769.3430992
W_18721,car,route_1,769.5624495999999
W_18724,bus,route_2,769.8536892
W_18729,bus,route_2,770.2945684
W_18731,car,route_1,770.440506
W_18751,car,route_1,771.1758618
W_18752,car,route_0,771.2495154
W_18757,car,route_1,771.9134702
W_18716,car,route_0,775.1412634999999
W_18827,car,route_1,777.3416526999999
W_18831,car,route_1,777.709605
W_18838,car,route_1,778.6664635999999
W_18843,car,route_1,778.8871459
W_18845,car,route_1,779.0322311
W_18868,car,route_1,780.3539718
W_18874,car,route_0,780.7192179
W_18898,car,route_1,781.7508034
W_18902,car,route_1,781.9715368999999
W_18908,car,route_0,782.0448336
W_18884,car,route_2,782.1902371
W_18911,car,route_1,782.1902527
W_18914,car,route_1,782.3363861
W_18919,car,route_0,782.4838609999999
W_18922,car,route_1,782.6300731
W_18930,car,route_1,782.9234035
W_18942,car,route_1,783.4362871999999
W_18946,car,route_1,783.5868998
W_18947,car,route_2,783.5869132
W_18951,car,route_1,783.8071027999999
W_18976,car,route_1,784.5425875
W_18990,car,route_1,785.1319942
W_18992,car,route_0,785.2060323
W_18997,car,route_1,785.3538053
W_19007,car,route_1,786.0120939
W_19010,car,route_1,786.2324765999999
W_19014,car,route_1,786.3789272
W_19028,car,route_1,786.746859
W_19041,car,route_1,787.11169
W_19050,car,route_1,787.5527952
W_19067,car,route_0,787.9991679999999
W_19094,car,route_1,788.8126343
W_19108,car,route_0,789.4746636
W_19175,car,route_0,791.8923315
W_19206,car,route_0,793.2870264
W_19217,car,route_0,793.6538143
W_19225,car,route_1,793.9480765999999
W_19226,car,route_1,794.0217215
W_19229,car,route_1,794.1676268
W_19258,car,route_1,796.2262863
W_19321,truck,route_2,799.230355
W_19335,car,route_1,799.5258715
W_19337,bus,route_2,799.8922609
W_19349,car,route_1,800.1154832999999
W_19354,bus,route_2,800.26361
W_19359,car,route_1,800.3366153
W_19366,car,route_1,800.4824539
W_19380,car,route_1,800.8504647999999
W_19386,car,route_1,801.0751414
W_19390,car,route_1,801.2207804999999
W_19397,car,route_1,801.4396908
W_19417,bus,route_2,802.2483358
W_19424,bus,route_2,802.467222
W_19432,bus,route_2,802.7608514
W_19436,car,route_1,802.9802614
W_19447,car,route_1,803.4925569
W_19454,car,route_1,803.6383763
W_19542,car,route_0,808.5614851
W_19546,car,route_1,808.7079242
W_19537,car,route_1,809.4505295
W_19569,car,route_1,809.8909629999999
W_19600,car,route_0,811.9485798
W_19603,car,route_0,812.3170692
W_19723,car,route_1,819.8022174
W_19735,car,route_1,820.0944746
W_19739,car,route_1,820.4614829
