S_Name,Class,Direction,Time
S_9675,car,route_3,5773.9530364
S_9690,car,route_3,5781.8663928999995
S_9739,car,route_3,5788.3266696
S_9742,car,route_3,5788.7611045
S_9753,car,route_3,5791.2350069
S_9705,car,route_3,5791.3072937
S_9756,car,route_3,5791.7444782
S_9803,car,route_3,5796.7732067
S_9823,car,route_3,5798.3090949
S_9829,car,route_3,5798.9678633
S_9833,car,route_3,5799.1132744999995
S_9836,car,route_3,5799.5610951
S_9837,car,route_3,5799.7103913
S_9838,car,route_3,5800.295776
S_9844,car,route_3,5801.2227791
S_9848,car,route_3,5801.5342542
S_9850,car,route_3,5801.8574497
S_9860,car,route_3,5804.8129843
S_9900,car,route_3,5813.4850257
S_9946,car,route_3,5820.8680397
S_9959,car,route_3,5823.9314369
S_10008,car,route_3,5827.4312125999995
S_10016,car,route_3,5828.0125831
S_10039,car,route_5,5830.4204518
S_10041,car,route_5,5830.7135171
S_10067,car,route_5,5835.3852747
S_10038,car,route_3,5835.5293189
S_10124,car,route_3,5850.9510119
S_10139,truck,route_3,5851.9624931
S_10141,bus,route_3,5852.2503643
S_10191,car,route_3,5876.6580342
S_10195,car,route_3,5877.0914287
S_10214,motorcycle,route_3,5883.2511377
S_10215,car,route_3,5883.4718895
S_10221,car,route_5,5886.0038489
S_10217,car,route_5,5888.0485102
S_10311,car,route_3,5900.6546169
S_10342,car,route_3,5904.0903341
S_10345,car,route_3,5904.5968192
S_10375,motorcycle,route_5,5908.4975922
S_10380,car,route_3,5909.023426
S_10383,car,route_3,5909.1776919
S_10386,car,route_3,5909.4711152
S_10400,motorcycle,route_5,5910.7277342
S_10432,car,route_3,5916.7753728
S_10450,car,route_3,5920.9992584
S_10456,car,route_3,5925.5933485
S_10477,car,route_3,5927.299541
S_10479,car,route_3,5927.452583
S_10487,car,route_3,5929.4445158
S_10490,car,route_3,5929.7445673
S_10495,car,route_3,5929.8966423
S_10531,car,route_3,5934.8063692
S_10539,car,route_3,5935.4635474
S_10546,car,route_3,5936.5957446
S_10554,car,route_3,5937.4986139
S_10561,car,route_5,5942.5919404999995
S_10577,car,route_3,5943.3943075
S_10680,car,route_3,5955.3985261
S_10756,car,route_5,5966.1280712
S_10763,car,route_3,5966.7901234
S_10779,car,route_5,5968.6161566
S_10781,car,route_3,5968.9803329999995
S_10782,car,route_3,5969.2742845
S_10784,car,route_3,5969.8629761
S_10805,car,route_5,5971.6874375
S_10810,car,route_3,5971.9841921
S_10780,car,route_3,5972.0565143
S_10820,car,route_3,5973.007245
S_10846,car,route_5,5975.8553303
S_10856,bus,route_5,5976.5837061
S_10850,car,route_3,5977.1659881
S_10942,car,route_5,5982.4016062
S_10878,car,route_5,5982.6180846
S_10947,car,route_5,5982.7667101
S_10949,car,route_3,5985.5233713
S_10999,motorcycle,route_5,5988.5052419
S_10958,car,route_3,6000.8522147
S_11085,motorcycle,route_5,6054.4488816
S_11086,motorcycle,route_5,6054.5927332
S_11145,car,route_3,6092.6924725
S_11147,car,route_3,6093.1272777
S_11152,car,route_3,6097.3350382
S_11153,car,route_3,6098.3492215999995
S_11154,car,route_3,6098.4934006
S_11155,car,route_3,6098.7818243
S_11169,car,route_3,6105.8063624
S_11171,car,route_3,6105.9554317
S_11172,car,route_3,6106.385938
S_11176,car,route_3,6107.3281675
S_11184,car,route_3,6109.074381
S_11257,motorcycle,route_5,6157.8810117
S_11255,motorcycle,route_5,6157.9574058
S_11279,motorcycle,route_3,6163.9507892
S_11322,motorcycle,route_5,6188.6287039
S_11324,motorcycle,route_5,6188.7732106
S_11326,motorcycle,route_5,6189.2043414
S_11323,motorcycle,route_5,6190.7892494
S_11333,motorcycle,route_5,6191.5131621
S_11365,motorcycle,route_3,6201.2859063999995
S_11406,motorcycle,route_3,6209.979509
S_11460,motorcycle,route_3,6225.1200198999995
S_11551,car,route_3,6256.2414977
S_11584,car,route_3,6258.2775931
S_11586,car,route_3,6258.9267448
S_11588,car,route_3,6259.1421935
S_11609,motorcycle,route_3,6263.9853555
S_11640,motorcycle,route_5,6293.5889475
S_11672,motorcycle,route_3,6300.1002
S_11689,car,route_5,6304.6639402
S_11699,motorcycle,route_5,6306.9860777
S_11821,motorcycle,route_5,6369.2286003
S_11852,car,route_5,6379.7881959999995
S_11857,motorcycle,route_3,6381.0834987
S_11863,car,route_5,6382.5255688
S_11864,car,route_5,6382.7406978
S_11867,car,route_3,6382.9550938
S_11869,car,route_3,6383.0986469
S_11922,car,route_3,6394.5493963
S_11945,motorcycle,route_5,6399.494571
S_11987,car,route_3,6412.8364695
S_12019,car,route_3,6413.1221626999995
S_12023,motorcycle,route_4,6413.1953447
S_12029,motorcycle,route_4,6414.2132169999995
S_12030,motorcycle,route_4,6414.3572406
S_12031,motorcycle,route_4,6414.643825
S_12058,motorcycle,route_3,6419.8556853
S_12175,car,route_3,6497.5451599
S_12180,car,route_3,6498.4805421
S_12181,car,route_3,6498.6239497999995
S_12218,car,route_5,6504.6375548
S_12259,motorcycle,route_3,6509.7033478
S_12311,motorcycle,route_5,6521.1261713
S_12364,car,route_3,6527.4889739
S_12411,motorcycle,route_5,6535.7111723
S_12423,motorcycle,route_5,6538.2492846
S_12426,motorcycle,route_5,6538.4677692
S_12506,car,route_3,6584.8638408
S_12620,car,route_3,6630.378237
S_12622,car,route_5,6630.4497875
S_12624,car,route_5,6630.594699
S_12632,car,route_5,6631.6850945999995
S_12637,car,route_5,6632.4123796
S_12674,car,route_5,6637.1343913
S_12697,car,route_5,6639.6693209
S_12775,motorcycle,route_3,6688.6340729
S_12822,motorcycle,route_3,6703.5899854
S_12838,motorcycle,route_3,6711.0340604
S_12864,car,route_5,6731.2320493
S_12891,motorcycle,route_5,6746.9643172999995
S_12914,motorcycle,route_3,6759.8610032999995
S_12950,car,route_5,6782.5303863
S_12985,motorcycle,route_3,6812.3975471
S_13009,motorcycle,route_3,6829.1644043999995
S_13020,car,route_5,6833.0730895
S_13028,car,route_5,6833.7260211
S_13030,car,route_5,6833.8703485999995
S_13031,car,route_5,6834.0135981
S_13073,motorcycle,route_3,6841.6306300999995
S_13075,motorcycle,route_3,6841.9237161
S_13142,car,route_3,6855.6290658
S_13197,car,route_3,6886.1630809
S_13233,motorcycle,route_3,6917.5051746
S_13271,motorcycle,route_3,6937.7646082
S_13272,motorcycle,route_5,6937.8360892
S_13274,motorcycle,route_5,6937.9803359
S_13304,motorcycle,route_5,6954.0701068
S_13306,motorcycle,route_5,6954.1417905
S_13316,motorcycle,route_5,6956.5383994
S_13317,motorcycle,route_5,6956.9052783
S_13331,motorcycle,route_3,6960.1507251
S_13336,motorcycle,route_3,6960.7341146
S_13371,motorcycle,route_3,6970.5464968
S_13425,car,route_5,6984.8278226
S_13498,car,route_3,6993.1778069
S_13520,car,route_3,7002.0253336
S_13619,motorcycle,route_5,7029.7477542
S_13621,motorcycle,route_5,7030.3304182
S_13625,car,route_3,7034.4034479
S_13748,motorcycle,route_5,7069.2143165
S_13756,motorcycle,route_5,7069.7216556
S_13758,motorcycle,route_5,7069.8663239
S_13759,motorcycle,route_5,7070.0110584
S_13777,motorcycle,route_3,7074.6608108
S_13822,motorcycle,route_5,7097.1771117
S_13858,motorcycle,route_5,7111.5918921
S_13864,motorcycle,route_5,7111.7372208
S_13882,car,route_3,7114.720736
